Designator,Footprint,Quantity,Value,LCSC Part #
D1,LEDRD254W57D500H1070,1,POWER,
D2,LEDRD254W57D500H1070,1,Drift,
"R1, R2",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,R,
SW1,SW_Cherry_MX_1.00u_PCB,1,GAS,
SW2,SW_Cherry_MX_1.00u_PCB,1,BRAKE,
SW3,SW_Cherry_MX_1.00u_PCB,1,LEFT,
SW4,SW_Cherry_MX_1.00u_PCB,1,RIGHT,
SW5,SW_Cherry_MX_1.00u_PCB,1,CHECKPOINT,
SW6,SW_Cherry_MX_1.00u_PCB,1,RESTART,
SW7,SW_Cherry_MX_1.00u_PCB,1,AK40,
SW8,SW_Cherry_MX_1.00u_PCB,1,AK60,
SW9,SW_Cherry_MX_1.00u_PCB,1,AK80,
"U2, U3",XIAO-Generic-Hybrid-14P-2.54-21X17.8MM,2,XIAO-RP2040-DIP,
