Designator,Mid X,Mid Y,Rotation,Layer
D1,169.23,-85.75,0.0,top
D2,187.015,-85.78125,0.0,top
HBIG1,161.2,-87.8,0.0,top
HBIG2,195.445,-88.23125,0.0,top
HSMALL2,179.55,-109.45,270.0,top
R1,169.07125,-90.596356,0.0,top
R2,187.785,-90.53125,0.0,top
SW1,149.95,-118.91,0.0,top
SW2,150.01875,-99.78,0.0,top
SW3,130.87,-99.78,0.0,top
SW4,168.97,-99.78,0.0,top
SW5,230.425,-99.835,0.0,top
SW6,192.325,-99.835,0.0,top
SW7,211.375,-99.835,0.0,top
SW8,169.0,-118.91,0.0,top
SW9,192.325,-118.885,0.0,top
U2,129.3605,-120.537985,180.0,top
U3,211.745,-119.53125,180.0,top
